epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,323.869,0.6325,0.88013,1.10075,0.96925,0.97656,0.98665,0.87444,0.53355,0.43298,1.06367,0.000197835,0.000197835,0.000197835
43,331.572,0.62699,0.86799,1.09857,0.97569,0.97136,0.99165,0.87217,0.55412,0.41069,1.09267,0.000194539,0.000194539,0.000194539
44,339.266,0.62189,0.84862,1.10048,0.97609,0.97314,0.9922,0.88068,0.53155,0.42201,1.06165,0.000191242,0.000191242,0.000191242
45,346.949,0.62805,0.85808,1.0955,0.95809,0.95923,0.98747,0.87596,0.52732,0.44866,1.0633,0.000187945,0.000187945,0.000187945
46,354.655,0.62697,0.85659,1.09662,0.97209,0.95791,0.99264,0.88687,0.52665,0.41193,1.06712,0.000184649,0.000184649,0.000184649
47,362.362,0.62381,0.8261,1.09991,0.96792,0.97228,0.99255,0.88093,0.53952,0.38659,1.08136,0.000181352,0.000181352,0.000181352
48,370.066,0.61014,0.80805,1.08837,0.97438,0.97089,0.99269,0.87081,0.56025,0.41185,1.10054,0.000178055,0.000178055,0.000178055
49,377.771,0.59554,0.7943,1.07904,0.97391,0.97257,0.99234,0.88122,0.54742,0.39716,1.08965,0.000174758,0.000174758,0.000174758
50,385.477,0.59515,0.79299,1.0777,0.97889,0.96468,0.99282,0.88465,0.52582,0.39386,1.07606,0.000171462,0.000171462,0.000171462
51,393.174,0.60955,0.79738,1.08126,0.97163,0.97456,0.98955,0.87668,0.55726,0.38568,1.09395,0.000168165,0.000168165,0.000168165
52,400.878,0.59214,0.7695,1.07579,0.95213,0.97322,0.99094,0.87985,0.5397,0.40717,1.06699,0.000164868,0.000164868,0.000164868
53,408.572,0.60655,0.76477,1.08165,0.97095,0.95587,0.98888,0.88576,0.53778,0.39567,1.08747,0.000161572,0.000161572,0.000161572
54,416.276,0.58883,0.77134,1.07945,0.95574,0.97951,0.99217,0.8844,0.5417,0.3971,1.0818,0.000158275,0.000158275,0.000158275
55,423.97,0.58385,0.7416,1.06992,0.98376,0.96945,0.99197,0.87373,0.53096,0.38113,1.06905,0.000154978,0.000154978,0.000154978
56,431.653,0.58728,0.7587,1.07703,0.97701,0.97799,0.9929,0.87976,0.53728,0.37455,1.07835,0.000151682,0.000151682,0.000151682
57,439.347,0.59738,0.74134,1.08134,0.95527,0.9829,0.99215,0.88343,0.52822,0.36411,1.07531,0.000148385,0.000148385,0.000148385
58,447.058,0.58081,0.73745,1.06632,0.97456,0.97138,0.99272,0.88319,0.54361,0.3719,1.08633,0.000145088,0.000145088,0.000145088
59,454.757,0.57074,0.69042,1.05681,0.98591,0.97689,0.99456,0.88695,0.53946,0.36473,1.08224,0.000141791,0.000141791,0.000141791
60,462.464,0.58431,0.71561,1.07405,0.98107,0.98065,0.99369,0.89107,0.50492,0.358,1.04166,0.000138495,0.000138495,0.000138495
61,470.179,0.57582,0.69189,1.06553,0.98179,0.96551,0.99194,0.89231,0.51811,0.36364,1.05259,0.000135198,0.000135198,0.000135198
62,477.901,0.57019,0.69958,1.06671,0.98078,0.97423,0.99391,0.8859,0.52198,0.35727,1.05366,0.000131901,0.000131901,0.000131901
63,485.591,0.5663,0.68445,1.0637,0.98587,0.97254,0.99403,0.8889,0.52524,0.36041,1.06156,0.000128605,0.000128605,0.000128605
64,493.295,0.54953,0.66403,1.0482,0.98375,0.96521,0.99244,0.8965,0.50081,0.35613,1.03348,0.000125308,0.000125308,0.000125308
65,500.984,0.54793,0.66404,1.04646,0.98046,0.97591,0.99191,0.88861,0.52431,0.35167,1.06162,0.000122011,0.000122011,0.000122011
66,508.679,0.55522,0.66315,1.0538,0.9794,0.98157,0.99447,0.88172,0.53846,0.34322,1.07797,0.000118714,0.000118714,0.000118714
67,516.374,0.54795,0.66163,1.05685,0.97903,0.9723,0.99218,0.88222,0.54825,0.35889,1.09552,0.000115418,0.000115418,0.000115418
68,524.065,0.55433,0.66144,1.05046,0.97232,0.97017,0.99394,0.88609,0.54471,0.35531,1.09478,0.000112121,0.000112121,0.000112121
69,531.754,0.56081,0.64318,1.05877,0.97902,0.9697,0.99193,0.88912,0.50466,0.35742,1.04274,0.000108824,0.000108824,0.000108824
70,539.462,0.56148,0.66684,1.05724,0.98079,0.97432,0.99376,0.89026,0.52734,0.34986,1.06647,0.000105528,0.000105528,0.000105528
71,547.168,0.54501,0.63598,1.04311,0.98754,0.9699,0.99456,0.88498,0.53874,0.34318,1.07494,0.000102231,0.000102231,0.000102231
72,554.882,0.5537,0.64293,1.04818,0.97994,0.97919,0.99445,0.89055,0.52648,0.35691,1.06318,9.89343e-05,9.89343e-05,9.89343e-05
73,562.575,0.54203,0.63292,1.04758,0.97654,0.97216,0.99422,0.88505,0.54332,0.35609,1.0857,9.56376e-05,9.56376e-05,9.56376e-05
74,570.273,0.54625,0.63132,1.04523,0.96705,0.97452,0.99361,0.8857,0.53003,0.36333,1.06626,9.23409e-05,9.23409e-05,9.23409e-05
75,577.977,0.53431,0.62101,1.04659,0.97089,0.97849,0.99411,0.88946,0.53615,0.347,1.07484,8.90442e-05,8.90442e-05,8.90442e-05
76,585.68,0.5355,0.61103,1.04448,0.98748,0.97712,0.99276,0.88375,0.5313,0.35223,1.07203,8.57475e-05,8.57475e-05,8.57475e-05
77,593.384,0.52979,0.59022,1.03577,0.97925,0.97566,0.99412,0.88716,0.52735,0.343,1.06039,8.24508e-05,8.24508e-05,8.24508e-05
78,601.087,0.52336,0.5956,1.03041,0.97569,0.97587,0.99138,0.88682,0.51033,0.34366,1.05314,7.91541e-05,7.91541e-05,7.91541e-05
79,608.79,0.51739,0.58841,1.03785,0.9763,0.97566,0.98979,0.87855,0.52775,0.34267,1.06331,7.58574e-05,7.58574e-05,7.58574e-05
80,616.486,0.52448,0.59916,1.03997,0.97694,0.97009,0.99087,0.88991,0.51634,0.33609,1.04859,7.25607e-05,7.25607e-05,7.25607e-05
81,624.183,0.52307,0.59305,1.03797,0.98182,0.96712,0.99323,0.89174,0.51185,0.3334,1.04699,6.9264e-05,6.9264e-05,6.9264e-05
82,631.887,0.52028,0.58971,1.0418,0.9819,0.96963,0.99292,0.89266,0.52824,0.3352,1.07399,6.59673e-05,6.59673e-05,6.59673e-05
83,639.574,0.50757,0.57017,1.02671,0.98118,0.976,0.99466,0.89345,0.51029,0.33163,1.055,6.26706e-05,6.26706e-05,6.26706e-05
84,647.258,0.51815,0.56077,1.03193,0.98622,0.97132,0.99423,0.89367,0.50154,0.32478,1.0372,5.93739e-05,5.93739e-05,5.93739e-05
1,10.8028,1.02838,4.28494,1.45349,0.02963,0.87996,0.09897,0.07993,0.69137,3.18395,1.26258,0.000109867,0.000109867,0.000109867
2,21.2563,0.90515,3.45828,1.35557,0.38087,0.44122,0.33319,0.2605,0.79158,2.21773,1.37357,0.000218681,0.000218681,0.000218681
3,31.6048,0.89923,2.96735,1.34385,0.41084,0.60738,0.54907,0.4419,0.72607,1.75785,1.26583,0.000325296,0.000325296,0.000325296
4,41.9257,0.8967,2.63856,1.34352,0.5742,0.65538,0.69233,0.56375,0.7384,1.55719,1.28699,0.00032311,0.00032311,0.00032311
