epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,415.702,0.59398,0.7221,1.06983,0.93234,0.89242,0.94162,0.75816,0.84936,0.58879,1.24937,0.000197835,0.000197835,0.000197835
43,425.555,0.58517,0.68565,1.05853,0.92566,0.86672,0.94245,0.76415,0.84449,0.54289,1.24323,0.000194539,0.000194539,0.000194539
44,435.413,0.60069,0.70804,1.08141,0.92898,0.8977,0.9523,0.77545,0.83397,0.512,1.26176,0.000191242,0.000191242,0.000191242
45,445.294,0.60169,0.70777,1.07331,0.93063,0.87819,0.9447,0.78883,0.791,0.53779,1.22191,0.000187945,0.000187945,0.000187945
46,455.164,0.59774,0.6774,1.07152,0.94592,0.87612,0.96085,0.78247,0.83457,0.51122,1.24908,0.000184649,0.000184649,0.000184649
47,465.017,0.58291,0.64897,1.05679,0.92515,0.86008,0.94445,0.74071,0.94944,0.55413,1.39904,0.000181352,0.000181352,0.000181352
48,474.875,0.57913,0.66246,1.06072,0.92311,0.89484,0.95264,0.76119,0.90732,0.55291,1.29675,0.000178055,0.000178055,0.000178055
49,484.754,0.58339,0.65299,1.06007,0.90694,0.89277,0.943,0.79397,0.74714,0.49885,1.17654,0.000174758,0.000174758,0.000174758
50,494.633,0.58759,0.67129,1.06106,0.89958,0.92265,0.95279,0.77161,0.83839,0.53287,1.26267,0.000171462,0.000171462,0.000171462
1,10.4151,1.02084,4.36025,1.45847,0.02748,0.72062,0.08626,0.07172,0.6438,3.45736,1.16618,0.000109832,0.000109832,0.000109832
2,20.5224,0.86145,3.87964,1.30376,0.28483,0.38915,0.31086,0.25853,0.72239,2.78514,1.24367,0.000220285,0.000220285,0.000220285
3,30.4682,0.90084,3.36616,1.33171,0.28778,0.45157,0.41259,0.32694,0.8836,2.31444,1.36708,0.000330189,0.000330189,0.000330189
4,40.3831,0.90965,2.93303,1.3215,0.58087,0.53075,0.54669,0.44737,0.82104,1.9738,1.26278,0.000330527,0.000330527,0.000330527
5,50.2998,0.85568,2.56884,1.26604,0.51931,0.70372,0.68255,0.55442,0.82937,1.57191,1.28849,0.000329703,0.000329703,0.000329703
6,60.2041,0.82843,2.31099,1.24997,0.61597,0.66417,0.73066,0.55549,1.02023,1.4608,1.42444,0.000328879,0.000328879,0.000328879
7,70.1044,0.84182,2.1212,1.24492,0.70553,0.62063,0.79311,0.66724,0.76986,1.38908,1.22095,0.000328055,0.000328055,0.000328055
8,80.0201,0.79577,1.89691,1.21558,0.67496,0.7311,0.80786,0.60789,1.04924,1.26974,1.44365,0.000327231,0.000327231,0.000327231
9,89.9415,0.78749,1.76608,1.20322,0.67863,0.78715,0.8232,0.66068,0.8735,1.18274,1.25577,0.000326407,0.000326407,0.000326407
10,99.8396,0.74516,1.6449,1.18423,0.79125,0.6897,0.80636,0.67665,0.76415,1.1655,1.21241,0.000325582,0.000325582,0.000325582
11,109.743,0.75072,1.54097,1.1732,0.76281,0.80133,0.87043,0.69662,0.90045,0.99736,1.29583,0.000324758,0.000324758,0.000324758
12,119.674,0.75633,1.51067,1.18071,0.85695,0.81651,0.9119,0.7105,0.99404,0.8816,1.4152,0.000323934,0.000323934,0.000323934
13,129.761,0.74093,1.42774,1.1685,0.83671,0.74252,0.8881,0.70516,0.92144,0.97927,1.33508,0.00032311,0.00032311,0.00032311
14,139.664,0.74249,1.36108,1.16814,0.78814,0.78732,0.88681,0.72118,0.88209,0.96329,1.30962,0.000322286,0.000322286,0.000322286
15,149.578,0.74741,1.3646,1.184,0.90102,0.84402,0.94838,0.76793,0.88684,0.74035,1.28042,0.000321462,0.000321462,0.000321462
16,159.487,0.73913,1.29456,1.16533,0.85593,0.81423,0.91362,0.7324,0.89071,0.86161,1.29805,0.000320637,0.000320637,0.000320637
17,169.392,0.72207,1.23348,1.1508,0.89521,0.80898,0.92174,0.76177,0.82574,0.75525,1.2386,0.000319813,0.000319813,0.000319813
18,179.287,0.72319,1.21702,1.15339,0.79466,0.82521,0.91958,0.72173,0.94605,0.83692,1.32027,0.000318989,0.000318989,0.000318989
19,189.176,0.70715,1.15457,1.14099,0.84214,0.87415,0.92536,0.76908,0.75302,0.66729,1.16523,0.000318165,0.000318165,0.000318165
20,199.065,0.69589,1.12999,1.13191,0.82636,0.91637,0.94402,0.73648,0.97425,0.71595,1.39831,0.000317341,0.000317341,0.000317341
21,208.979,0.69612,1.11838,1.13951,0.84372,0.78743,0.90839,0.69275,1.03707,0.79879,1.41638,0.000316517,0.000316517,0.000316517
22,218.893,0.68694,1.08762,1.13685,0.83097,0.79153,0.91189,0.74568,0.83354,0.78018,1.24744,0.000315692,0.000315692,0.000315692
23,228.772,0.66944,1.02531,1.12415,0.89459,0.82531,0.9091,0.74412,0.82274,0.72471,1.23894,0.000314868,0.000314868,0.000314868
24,238.69,0.66889,0.98783,1.11536,0.92178,0.8202,0.93906,0.74937,0.90578,0.6609,1.27499,0.000314044,0.000314044,0.000314044
25,248.607,0.65955,0.98627,1.10413,0.84776,0.87424,0.927,0.76568,0.79071,0.63997,1.22683,0.00031322,0.00031322,0.00031322
26,258.5,0.68074,0.99043,1.12282,0.85158,0.83929,0.89982,0.72573,0.86728,0.68641,1.24554,0.000312396,0.000312396,0.000312396
27,268.394,0.67571,0.97839,1.11639,0.87656,0.88288,0.9434,0.78329,0.7576,0.6434,1.17645,0.000311571,0.000311571,0.000311571
28,278.321,0.65276,0.92194,1.10794,0.8864,0.87835,0.94757,0.75549,0.90511,0.62458,1.2867,0.000310747,0.000310747,0.000310747
29,288.228,0.66817,0.92008,1.11595,0.88797,0.8518,0.92634,0.73479,0.88897,0.66169,1.28558,0.000309923,0.000309923,0.000309923
30,298.117,0.65317,0.88451,1.10088,0.8757,0.88609,0.9447,0.78742,0.71336,0.55525,1.1584,0.000309099,0.000309099,0.000309099
31,308.02,0.66776,0.89188,1.12112,0.87314,0.8258,0.91962,0.71498,0.9504,0.77173,1.32729,0.000308275,0.000308275,0.000308275
32,317.95,0.65247,0.85854,1.10275,0.85756,0.90253,0.93582,0.76497,0.8248,0.59907,1.24119,0.000307451,0.000307451,0.000307451
33,327.86,0.63513,0.857,1.08967,0.87123,0.85009,0.92129,0.76369,0.79699,0.66122,1.19567,0.000306626,0.000306626,0.000306626
34,337.744,0.64447,0.8293,1.10205,0.90648,0.86612,0.93269,0.74818,0.88726,0.59058,1.30229,0.000305802,0.000305802,0.000305802
35,347.622,0.66059,0.84644,1.10928,0.9184,0.86532,0.93656,0.78304,0.78022,0.5628,1.21144,0.000304978,0.000304978,0.000304978
